MutationType,NSLC-0065-T01,NSLC-0108-T01,NSLC-0228-T01
1:Del:C:0,38,44,36
1:Del:C:1,24,21,27
1:Del:C:2,4,7,14
1:Del:C:3,4,5,10
1:Del:C:4,2,7,6
1:Del:C:5,4,2,2
1:Del:T:0,18,20,21
1:Del:T:1,15,10,19
1:Del:T:2,9,23,25
1:Del:T:3,9,19,23
1:Del:T:4,8,11,11
1:Del:T:5,13,30,18
1:Ins:C:0,8,4,16
1:Ins:C:1,3,2,7
1:Ins:C:2,3,2,3
1:Ins:C:3,1,1,1
1:Ins:C:4,2,0,0
1:Ins:C:5,1,1,1
1:Ins:T:0,5,8,45
1:Ins:T:1,17,13,19
1:Ins:T:2,7,1,6
1:Ins:T:3,4,6,1
1:Ins:T:4,1,3,7
1:Ins:T:5,40,33,31
2:Del:R:0,9,4,5
2:Del:R:1,0,3,0
2:Del:R:2,1,1,0
2:Del:R:3,0,0,0
2:Del:R:4,0,0,0
2:Del:R:5,0,0,0
3:Del:R:0,3,4,3
3:Del:R:1,0,1,1
3:Del:R:2,0,0,0
3:Del:R:3,0,0,0
3:Del:R:4,0,0,0
3:Del:R:5,0,0,0
4:Del:R:0,4,1,1
4:Del:R:1,0,0,1
4:Del:R:2,0,1,0
4:Del:R:3,0,0,0
4:Del:R:4,0,0,0
4:Del:R:5,0,0,0
5:Del:R:0,17,12,15
5:Del:R:1,0,0,0
5:Del:R:2,0,0,0
5:Del:R:3,0,0,0
5:Del:R:4,0,0,0
5:Del:R:5,0,0,0
2:Ins:R:0,2,3,28
2:Ins:R:1,4,1,6
2:Ins:R:2,2,2,0
2:Ins:R:3,0,0,0
2:Ins:R:4,0,0,0
2:Ins:R:5,1,2,3
3:Ins:R:0,4,1,2
3:Ins:R:1,1,1,0
3:Ins:R:2,0,0,0
3:Ins:R:3,0,0,0
3:Ins:R:4,0,0,0
3:Ins:R:5,0,0,0
4:Ins:R:0,7,3,5
4:Ins:R:1,1,0,2
4:Ins:R:2,0,0,0
4:Ins:R:3,1,0,0
4:Ins:R:4,0,0,0
4:Ins:R:5,0,0,0
5:Ins:R:0,9,4,2
5:Ins:R:1,4,6,7
5:Ins:R:2,0,0,0
5:Ins:R:3,0,0,0
5:Ins:R:4,0,1,0
5:Ins:R:5,0,0,0
2:Del:M:1,1,5,5
3:Del:M:1,5,3,1
3:Del:M:2,2,5,2
4:Del:M:1,0,0,4
4:Del:M:2,1,2,1
4:Del:M:3,4,4,2
5:Del:M:1,14,8,17
5:Del:M:2,7,9,10
5:Del:M:3,4,6,5
5:Del:M:4,2,3,0
5:Del:M:5,3,0,3
